,authors,title,year,abstract,affiliations,journal
0,"Bassam  M. Ayoub, Haidy  E. Michel, Shereen Mowaka, Moataz  S. Hendy, Mariam  M. Tadros","Repurposing of Omarigliptin as a Neuroprotective Agent Based on Docking with A<sub>2A</sub> Adenosine and AChE Receptors, Brain GLP-1 Response and Its Brain/Plasma Concentration Ratio after 28 Days Multiple Doses in Rats Using LC-MS/MS",2021,"The authors in the current work suggested the potential repurposing of omarigliptin (OMR) for neurodegenerative diseases based on three new findings that support the preliminary finding of crossing BBB after a single dose study in the literature. The first finding is the positive results of the docking study with the crystal structures of A<sub>2A</sub> adenosine (A2AAR) and acetylcholine esterase (AChE) receptors. A2AAR is a member of non-dopaminergic GPCR superfamily receptor proteins and has essential role in regulation of glutamate and dopamine release in Parkinson’s disease while AChE plays a major role in Alzheimer’s disease as the primary enzyme responsible for the hydrolytic metabolism of the neurotransmitter acetylcholine into choline and acetate. Docking showed that OMR perfectly fits into A2AAR binding pocket forming a distinctive hydrogen bond with Threonine 256. Besides other non-polar interactions inside the pocket suggesting the future of the marketed anti-diabetic drug (that cross BBB) as a potential antiparkinsonian agent while OMR showed perfect fit inside AChE receptor binding site smoothly because of its optimum length and the two fluorine atoms that enables quite lean fitting. Moreover, a computational comparative study of OMR docking, other 12 DPP-4 inhibitors and 11 SGLT-2 inhibitors was carried out. Secondly, glucagon-like peptide-1 (GLP-1) concentration in rats’ brain tissue was determined by the authors using sandwich GLP-1 ELISA kit bio-analysis to ensure the effect of OMR after the multiple doses’ study. Brain GLP-1 concentration was elevated by 1.9-fold following oral multiple doses of OMR (5 mg/kg/day, p.o. for 28 days) as compared to the control group. The third finding is the enhanced BBB crossing of OMR after 28 days of multiple doses that had been studied using <i>LC</i>-MS/MS method with enhanced liquid–liquid extraction. A modified LC-MS/MS method was established for bioassay of OMR in rats’ plasma (10–3100 ng/mL) and rats’ brain tissue (15–2900 ng/mL) using liquid–liquid extraction. Alogliptin (ALP) was chosen as an internal standard (IS) due to its LogP value of 1.1, which is very close to the LogP of OMR. Extraction of OMR from samples of both rats’ plasma and rats’ brain tissue was effectively achieved with ethyl acetate as the extracting solvent after adding 1N sodium carbonate to enhance the drug migration, while choosing acetonitrile to be the diluent solvent for the IS to effectively decrease any emulsion between the layers in the stated method of extraction. Validation results were all pleasing including good stability studies with bias of value below 20%. Concentration of OMR in rats’ plasma were determined after 2 h of the latest dose from 28 days multiple doses, p.o, 5 mg/kg/day. It was found to be 1295.66 ± 684.63 ng/mL estimated from the bio-analysis regression equation. OMR passed through the BBB following oral administration and exhibited concentration of 543.56 ± 344.15 ng/g in brain tissue, taking in consideration the dilution factor of 10. The brain/plasma concentration ratio of 0.42 (543.56/1295.66) was used to illustrate the penetration power through the BBB after the multiple doses for 28 days. Results showed that OMR passed through the BBB more effectively in the multiple dose study as compared to the previously published single dose study by the authors. Thus, the present study suggests potential repositioning of OMR as antiparkinsonian agent that will be of interest for researchers interested in neurodegenerative diseases.","Pharmaceutical Chemistry Department, Faculty of Pharmacy, The British University in Egypt, El-Sherouk City, Cairo 11837, Egypt; Pharmacology and Toxicology Department, Faculty of Pharmacy, Ain Shams University, Organization of African Unity Street, Abassia, Cairo 11566, Egypt; Pharmaceutical Chemistry Department, Faculty of Pharmacy, The British University in Egypt, El-Sherouk City, Cairo 11837, Egypt; Pharmaceutical Chemistry Department, Faculty of Pharmacy, The British University in Egypt, El-Sherouk City, Cairo 11837, Egypt; Pharmaceutical Analytical Chemistry Department, Faculty of Pharmacy, Ain Shams University, Organization of African Unity Street, Abassia, Cairo 11566, Egypt",Molecules
1,"Willy Brodus Uwan, Ari Fahrial Syam, C Rinaldi A. Lesmana, Cleopas Martin Rumende",The Difference in Prevalence of Helicobacter pylori Infection between Chinese and Dayak Ethnics with Dyspepsia Syndrome,2016,"Introduction. Helicobacter pylori (H. pylori) infection risk is associated with many factors related to host-agent-environment. Ethnicity is one of the host factors which was the most studied factor overseas. The prevalence of H. pylori infection was found higher in certain ethnic such among Chinese. Based on migration and transmission theory, it was suspected that H. pylori infection was transmitted by people migrating from areas with a high prevalence of infection to the destination area. Chinese in West Borneo are originated from South China region where the prevalence of H. pylori infection is high. It is estimated that there are differences in the prevalence of H. pylori infection among Chinese compared to the native people of West Borneo, the Dayaknese.

Methods. This was a cross-sectional study to determine the differences in the prevalence of H. pylori infection. The study was conducted at St. Antonius General Hospital Pontianak from December 2014 to June 2015 with consecutive sampling method. H. pylori infection prevalence is presented in percentage numbers, while the epidemiological characteristics and endoscopic finding differences among Chinese and Dayaknese were analyzed by bivariate analysis using the chi-square with significance value (p) = 0.05.

Results. From a total of 203 subjects in this study, consisted of 102 Chinese subjects and 101 Dayaknese subjects, the prevalence of H. pylori infection was 40.8%. The prevalence among Chinese is higher than Dayaknese, which is 48.0% and 33.7%, respectively. There is no difference in the epidemiological characteristics and endoscopic findings in both ethnic groups.

Conclusions. The prevalence of H. pylori infection among the Chinese (48.0%) is higher than among Dayaknese (33.7%). There is no difference in the epidemiological characteristics and endoscopic findings among both ethnic groups.","Bagian Penyakit Dalam Rumah Sakit Santo Antonius, Pontianak Indonesia ; Divisi Gastroenterologi, Departemen Ilmu Penyakit Dalam Fakultas Kedokteran Universitas Indonesia/Rumah Sakir dr. Cipto Mangunkusumo, Jakarta Indonesia ; Divisi Hepatobilier, Departemen Ilmu Penyakit Dalam, Fakultas Kedokteran Universitas Indonesia/ Rumah Sakit dr. Cipto Mangunkusumo, Jakarta Indonesia ; Divisi Respirologi dan Penyakit Kritis, Departemen Ilmu Penyakit Dalam, Fakultas Kedokteran Universitas Indonesia/Rumah Sakit dr. Cipto Mangunkusumo, Jakarta Indonesia ",Jurnal Penyakit Dalam Indonesia
2,"Xinli Wang, Liye Wang, Lijun Xie, Zuoxu Xie, Li Li, Dinh Bui, Taijun Yin, Song Gao, Ming Hu",Design and Synthesis of a Novel NIR Celecoxib-Based Fluorescent Probe for Cyclooxygenase-2 Targeted Bioimaging in Tumor Cells,2020,"Cyclooxygenase-2 (COX-2) imaging agents are potent tools for early cancer diagnosis. Almost all of the COX2 imaging agents using celecoxib as backbone were chemically modified in the position of N-atom in the sulfonamide group. Herein, a novel COX-2 probe (CCY-5) with high targeting ability and a near-infrared wavelength (achieved by attaching a CY-5 dye on the pyrazole ring of celecoxib using a migration strategy) was evaluated for its ability to probe COX-2 in human cancer cells. CCY-5 is expected to have high binding affinity for COX-2 based on molecular docking and enzyme inhibition assay. Meanwhile, CCY-5 caused stronger fluorescence imaging of COX-2 overexpressing cancer cells (Hela and SCC-9 cells) than that of normal cell lines (RAW 264.7 cells). Lipopolysaccharide (LPS) treated RAW264.7 cells revealed an enhanced fluorescence as LPS was known to induce COX-2 in these cells. In inhibitory studies, a markedly reduced fluorescence intensity was observed in cancer cells, when they were co-treated with a COX-2 inhibitor celecoxib. Therefore, CCY-5 may be a selective bioimaging agent for cancer cells overexpressing COX-2 and could be useful as a good monitoring candidate for effective diagnosis and therapy in cancer treatment.","Department of Medical Oncology, Fujian Medical University Union Hospital, Fuzhou 350001, Fujian, China; Department of Pharmacological and Pharmaceutical Sciences, College of Pharmacy, University of 10 Houston, Houston, TX 77204, USA; Department of Pharmacological and Pharmaceutical Sciences, College of Pharmacy, University of 10 Houston, Houston, TX 77204, USA; Department of Pharmacological and Pharmaceutical Sciences, College of Pharmacy, University of 10 Houston, Houston, TX 77204, USA; Department of Pharmacological and Pharmaceutical Sciences, College of Pharmacy, University of 10 Houston, Houston, TX 77204, USA; Department of Pharmacological and Pharmaceutical Sciences, College of Pharmacy, University of 10 Houston, Houston, TX 77204, USA; Department of Pharmacological and Pharmaceutical Sciences, College of Pharmacy, University of 10 Houston, Houston, TX 77204, USA; Department of Pharmacological and Pharmaceutical Sciences, College of Pharmacy, University of 10 Houston, Houston, TX 77204, USA; Department of Pharmacological and Pharmaceutical Sciences, College of Pharmacy, University of 10 Houston, Houston, TX 77204, USA",Molecules
3,"Mikio Saito, Manabu Abe, Tomoyasu Furukawa, Motohiro Yagi, Yoshihiro Koike, Yutaka Wakasugi, Norihiko Tabuchi, Katsuji Uno",Study on Patients Who Underwent Suspected Diagnosis of Allergy to Amide-Type Local Anesthetic Agents by the Leukocyte Migration Test,2014,"Background:: There are problems in diagnosis of allergy to amide-type local anesthetic agents (ALAs), because definitive diagnosis is not obtained by in vivo tests, which are used for the diagnosis. Consequently, patients may be exposed to risk. There are few diagnoses based on in vitro tests, and there are almost no relevant studies.
Methods:: Authors examined involvement of allergic reaction using the leukocyte migration test (LMT) through multiple standpoints in 43 patients who underwent suspected diagnosis of allergy to ALAs.
Results:: Rate of LMT-positives was 54%, and especially the positive rate of lidocaine hydrochloride preparations was significantly high. In 15 positives to lidocaine hydrochloride preparations, all cases were indicated as positive in a test with drugs containing antiseptic agent, but only 3 cases were indicated as positive in a test with lidocaine hydrochloride alone. In addition, test with paraben was conducted in 4 cases; 2 cases were confirmed as positive. In relevance of histories of drug or food allergies, development rates of ALAs-allergies were the highest in both allergies, and were 35% and 13%, respectively.
Conclusions:: There is a high possibility that these adverse reactions were caused by pseudoallergy to drug. Even by allergic reactions, it was assumed that 80% of them might be caused by antiseptic agents such as paraben. In addition, it was suggested that ALAs, especially lidocaine hydrochloride preparations have high antigenicity (sensitizing property). Furthermore, it was considered that patients with past history of drug or food allergies have a high potential for manifestation of the reactions.","Laboratory of Clinical Pharmacy, Faculty of Pharmaceutical Sciences, Niigata University of Pharmacy and Life Sciences; Laboratory of Clinical Pharmacy, Faculty of Pharmaceutical Sciences, Niigata University of Pharmacy and Life Sciences; Department of Pharmacy, Niitsu Medical Center Hospital; Department of Pharmacy, Brain Disease Center Agano Hospital; Department of Pharmacy, Toyoura Hospital; Department of Internal Medicine, Suibarago Hospital, Niigata; Laboratory of Molecular Microbiology, Faculty of Pharmacy and Pharmaceutical Sciences, Fukuyama University, Hiroshima, Japan.; Laboratory of Molecular Microbiology, Faculty of Pharmacy and Pharmaceutical Sciences, Fukuyama University, Hiroshima, Japan.",Allergology International
4,"Zhiwei Teng, Bingtao Wang, Yingying Hu, Wei Zhang, Zhige Wu, Danqian Xu",High performance ultrafiltration membrane by coupling magnetic migration and in-situ surface modification,2021,"Ultrafiltration (UF) membrane technology has drawn much attraction during the past decades to address the challenge of global clean water scarcity. Herein, we proposed a facile methodology to prepare a gradient polysulfone-based (PSf) UF membrane with effective antifouling properties via coupling magnetic field-assisted directional migration and in-situ hydrolysis of fluoro-agent during non-solvent induced phase separation (NIPS). The effect of GO-Fe3O4 gradient distribution and fluorosilane (FAS) in-situ surface modification on membrane morphology, hydrophilicity, porosity, water flux and antifouling properties have been investigated. Optical microscopy and SEM-EDX observations indicated that hydrophilic GO-Fe3O4 nanofiller could directionally migrate in casting solution and eventually result in gradient distribution in PSf matrix under the magnetic field. In addition, the surface enrichment of GO-Fe3O4 provided reaction sites to anchor low energy FAS via in-situ hydrolysis on the membrane surface and realized dual antifouling mechanism (fouling-resistance and fouling-release), which guaranteed UF membranes with excellent antifouling properties and remarkable long-term stability and reusability. Our study provided a new incentive to the development of high performance UF membranes by coupling magnetic migration and in-situ surface modification.","State Key Laboratory Breeding Base of Green Chemistry-Synthesis Technology, Zhejiang University of Technology, Hangzhou, 310014, China; School of Biological and Chemical Engineering, NingboTech University, Ningbo, 315100, China; School of Biological and Chemical Engineering, NingboTech University, Ningbo, 315100, China; Ningbo Research Institute, Zhejiang University, Ningbo, 315100, China; Corresponding author. School of Biological and Chemical Engineering, NingboTech University, Ningbo, 315100, China.; State Key Laboratory Breeding Base of Green Chemistry-Synthesis Technology, Zhejiang University of Technology, Hangzhou, 310014, China; School of Biological and Chemical Engineering, NingboTech University, Ningbo, 315100, China; School of Biological and Chemical Engineering, NingboTech University, Ningbo, 315100, China; Ningbo Research Institute, Zhejiang University, Ningbo, 315100, China; School of Biological and Chemical Engineering, NingboTech University, Ningbo, 315100, China; Ningbo Research Institute, Zhejiang University, Ningbo, 315100, China; State Key Laboratory Breeding Base of Green Chemistry-Synthesis Technology, Zhejiang University of Technology, Hangzhou, 310014, China",Polymer Testing
5,"Minjae Kim, Yue Wang, Dong-eun Kim, Qingyi Shao, Hong-Sub Lee, Hyung-Ho Park",Resistive switching properties for fluorine doped titania fabricated using atomic layer deposition,2022,"This study demonstrates a new resistive switching material, F-doped TiO2 (F:TiO2), fabricated by atomic layer deposition (ALD) with an in-house fluorine source for resistive random access memory (RRAM) devices. Controlling oxygen vacancies is required since RRAM uses resistive switching (RS) characteristics by redistributing oxygen ions in oxide, and poor oxygen defect control has been shown to significantly reduce RRAM reliability. Therefore, this study designed an F based RRAM device using fluorine anions rather than oxygen defect for the main agent of RS behavior. We developed the F:TiO2 RRAM material using a novel in situ doping method in ALD and investigated its RS behaviors. The Pt/F:TiO2/Pt device exhibited forming-less bipolar RS and self-rectifying behavior by fluorine anion migration, effectively reducing the sneak current in crossbar array architecture RRAM. The doped fluorine passivated and reduced oxygen related defects in TiO2, confirmed by x-ray photoelectron spectroscopy analysis. Adopting the F-based RS material by ALD provides a viable candidate for high reliability RRAM.","Department of Materials Science and Engineering, Yonsei University, Seoul 03722, South Korea; Department of Materials Science and Engineering, Yonsei University, Seoul 03722, South Korea; Department of Materials Science and Engineering, Yonsei University, Seoul 03722, South Korea; Department of Physics and Telecommunication Engineering, South China Normal University, Guangzhou 510006, China and Guangdong Provincial Key Laboratory of Nuclear Science, Institute of Quantum Matter, South China Normal University, Guangzhou 510006, China; Department of Materials Science and Engineering, Kangwon National University, Chuncheon 24341, South Korea; Department of Materials Science and Engineering, Yonsei University, Seoul 03722, South Korea",APL Materials
6,"Simeone Marino, Denise E. Kirschner",A Multi-Compartment Hybrid Computational Model Predicts Key Roles for Dendritic Cells in Tuberculosis Infection,2016,"Tuberculosis (TB) is a world-wide health problem with approximately 2 billion people infected with Mycobacterium tuberculosis (Mtb, the causative bacterium of TB). The pathologic hallmark of Mtb infection in humans and Non-Human Primates (NHPs) is the formation of spherical structures, primarily in lungs, called granulomas. Infection occurs after inhalation of bacteria into lungs, where resident antigen-presenting cells (APCs), take up bacteria and initiate the immune response to Mtb infection. APCs traffic from the site of infection (lung) to lung-draining lymph nodes (LNs) where they prime T cells to recognize Mtb. These T cells, circulating back through blood, migrate back to lungs to perform their immune effector functions. We have previously developed a hybrid agent-based model (ABM, labeled GranSim) describing in silico immune cell, bacterial (Mtb) and molecular behaviors during tuberculosis infection and recently linked that model to operate across three physiological compartments: lung (infection site where granulomas form), lung draining lymph node (LN, site of generation of adaptive immunity) and blood (a measurable compartment). Granuloma formation and function is captured by a spatio-temporal model (i.e., ABM), while LN and blood compartments represent temporal dynamics of the whole body in response to infection and are captured with ordinary differential equations (ODEs). In order to have a more mechanistic representation of APC trafficking from the lung to the lymph node, and to better capture antigen presentation in a draining LN, this current study incorporates the role of dendritic cells (DCs) in a computational fashion into GranSim. Results: The model was calibrated using experimental data from the lungs and blood of NHPs. The addition of DCs allowed us to investigate in greater detail mechanisms of recruitment, trafficking and antigen presentation and their role in tuberculosis infection. Conclusion: The main conclusion of this study is that early events after Mtb infection are critical to establishing a timely and effective response. Manipulating CD8+ and CD4+ T cell proliferation rates, as well as DC migration early on during infection can determine the difference between bacterial clearance vs. uncontrolled bacterial growth and dissemination.","Department of Microbiology and Immunology, University of Michigan Medical School, Ann Arbor, MI 48109, USA; Department of Microbiology and Immunology, University of Michigan Medical School, Ann Arbor, MI 48109, USA",Computation
7,"Szabolcs Suveges, Ibrahim Chamseddine, Katarzyna A. Rejniak, Katarzyna A. Rejniak, Raluca Eftimie, Dumitru Trucu",Collective Cell Migration in a Fibrous Environment: A Hybrid Multiscale Modelling Approach,2021,"The specific structure of the extracellular matrix (ECM), and in particular the density and orientation of collagen fibres, plays an important role in the evolution of solid cancers. While many experimental studies discussed the role of ECM in individual and collective cell migration, there are still unanswered questions about the impact of nonlocal cell sensing of other cells on the overall shape of tumour aggregation and its migration type. There are also unanswered questions about the migration and spread of tumour that arises at the boundary between different tissues with different collagen fibre orientations. To address these questions, in this study we develop a hybrid multi-scale model that considers the cells as individual entities and ECM as a continuous field. The numerical simulations obtained through this model match experimental observations, confirming that tumour aggregations are not moving if the ECM fibres are distributed randomly, and they only move when the ECM fibres are highly aligned. Moreover, the stationary tumour aggregations can have circular shapes or irregular shapes (with finger-like protrusions), while the moving tumour aggregations have elongate shapes (resembling to clusters, strands or files). We also show that the cell sensing radius impacts tumour shape only when there is a low ratio of fibre to non-fibre ECM components. Finally, we investigate the impact of different ECM fibre orientations corresponding to different tissues, on the overall tumour invasion of these neighbouring tissues.","Division of Mathematics, University of Dundee, Dundee, United Kingdom; Department of Integrated Mathematical Oncology, H. Lee Moffitt Cancer Center and Research Institute, Tampa, FL, United States; Department of Integrated Mathematical Oncology, H. Lee Moffitt Cancer Center and Research Institute, Tampa, FL, United States; Department of Oncologic Sciences, Morsani College of Medicine, University of South Florida, Tampa, FL, United States; Laboratoire Mathématiques de Besançon, Université de Bourgogne Franche-Comté, Besançon, France; Division of Mathematics, University of Dundee, Dundee, United Kingdom",Frontiers in Applied Mathematics and Statistics
8,"Gabriella Bretti, Andrea De Gaetano",An Agent-Based Interpretation of Leukocyte Chemotaxis in Cancer-on-Chip Experiments,2022,"The present paper was inspired by recent developments in laboratory experiments within the framework of cancer-on-chip technology, an immune-oncology microfluidic chip aiming at studying the fundamental mechanisms of immunocompetent behavior. We focus on the laboratory setting where cancer is treated with chemotherapy drugs, and in this case, the effects of the treatment administration hypothesized by biologists are: the absence of migration and proliferation of tumor cells, which are dying; the stimulation of the production of chemical substances (annexin); the migration of leukocytes in the direction of higher concentrations of chemicals. Here, following the physiological hypotheses made by biologists on the phenomena occurring in these experiments, we introduce an agent-based model reproducing the dynamics of two cell populations (agents), i.e., tumor cells and leukocytes living in the microfluidic chip environment. Our model aims at proof of concept, demonstrating that the observations of the biological phenomena can be obtained by the model on the basis of the explicit assumptions made. In this framework, close adherence of the computational model to the biological results, as shown in the section devoted to the first calibration of the model with respect to available observations, is successfully accomplished.","Istituto per le Applicazioni del Calcolo “Mauro Picone” (CNR-IAC), 00185 Rome, Italy; Istituto di Analisi dei Sistemi ed Informatica “Antonio Ruberti” (CNR-IASI), 00185 Rome, Italy",Mathematics
9,"Harish Padmanabha, Fabio Correa, Camilo Rubio, Andres Baeza, Salua Osorio, Jairo Mendez, James Holland Jones, Maria A Diuk-Wasser",Human Social Behavior and Demography Drive Patterns of Fine-Scale Dengue Transmission in Endemic Areas of Colombia.,2015,"Dengue is known to transmit between humans and A. aegypti mosquitoes living in neighboring houses. Although transmission is thought to be highly heterogeneous in both space and time, little is known about the patterns and drivers of transmission in groups of houses in endemic settings. We carried out surveys of PCR positivity in children residing in 2-block patches of highly endemic cities of Colombia. We found high levels of heterogeneity in PCR positivity, varying from less than 30% in 8 of the 10 patches to 56 and 96%, with the latter patch containing 22 children simultaneously PCR positive (PCR22) for DEN2. We then used an agent-based model to assess the likely eco-epidemiological context of this observation. Our model, simulating daily dengue dynamics over a 20 year period in a single two block patch, suggests that the observed heterogeneity most likely derived from variation in the density of susceptible people. Two aspects of human adaptive behavior were critical to determining this density: external social relationships favoring viral introduction (by susceptible residents or infectious visitors) and immigration of households from non-endemic areas. External social relationships generating frequent viral introduction constituted a particularly strong constraint on susceptible densities, thereby limiting the potential for explosive outbreaks and dampening the impact of heightened vectorial capacity. Dengue transmission can be highly explosive locally, even in neighborhoods with significant immunity in the human population. Variation among neighborhoods in the density of local social networks and rural-to-urban migration is likely to produce significant fine-scale heterogeneity in dengue dynamics, constraining or amplifying the impacts of changes in mosquito populations and cross immunity between serotypes.",NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN,PLoS ONE
